State,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
California,166700,166400,166100,165800,165600,165400,165400,165500,165600,165900,166000,166000,166100,166300,166600,167100,167600,168300,169200,170300,171700,173400,174900,176200,177500,178600,179600,180500,181300,182200,183100,184000,185200,186700,188000,189200,190600,192000,193600,195300,197100,199100,201300,203800,206600,209600,212500,215200,217900,220700,223400,226000,228500,230900,233400,235900,238400,241000,243500,245800,248100,250400,252500,254700,256900,259200,261700,264200,267000,269900,272900,276000,279100,282400,286000,289800,293700,297800,302200,306700,311200,315500,319900,324300,329000,333800,338800,344300,349900,355900,361900,368100,374600,381400,388800,396900,406000,415500,425400,435100,444200,452500,460400,467600,474700,481700,488400,495300,502200,508900,515400,521400,526800,531600,535800,539500,542600,545600,548100,550500,552600,554000,554600,554000,552000,549400,546700,543900,541300,538900,536100,532900,529300,525300,520800,515400,508700,501700,494400,486800,478800,470300,460800,450200,438700,427200,416200,407000,399600,393400,387300,381500,376000,370800,365400,359500,353200,346600,341100,337900,336500,336200,336500,337200,337700,338300,339000,339000,339200,340000,340100,338800,337400,335600,333500,331300,328800,326100,323800,321800,319900,317900,316200,314500,312700,310500,308600,307300,306800,306200,306200,307500,309800,312300,314600,317000,319000,321700,325200,329300,333300,337200,341700,347900,355100,362500,369900,376900,382900,387600,391300,394500,397400,400300,403600,406600,409200,411900,414300,416100,417900,419700,421500,423100,425000,427500,430400,432900,435200,437700,440300,442700,445000,447900,450500,453100,456200,459200,461300,463600,466300,468700,471100,474200,477700,481400,485100,488700,492200,495600,498800,502100,505500,508400,511300,514400,517400,520500,524000,527400,530500,534900,540100,543500,545000,546600,548400,549700,551300,553000,554300
Texas,93700,93700,93700,93800,93900,94100,94200,94300,94300,94400,94300,94200,94200,94200,94200,94300,94500,94700,95000,95400,96000,96500,97100,97500,97900,98200,98400,98600,98800,99000,99200,99500,99900,100400,100900,101400,102000,102600,103300,104300,105600,107300,109100,110700,112000,113000,113800,114400,114700,114900,114800,114300,113600,112600,111500,110500,109800,109500,109400,109400,109700,110000,110400,110700,110800,110900,111000,111100,111300,111600,111900,112100,112500,112800,113200,113800,114300,114900,115300,115800,116000,116200,116300,116400,116400,116500,116700,116900,117100,117300,117600,118000,118600,119300,120300,121200,122200,123000,123700,124300,124900,125500,126000,126600,127100,127600,128100,128400,128700,129000,129200,129500,129700,129900,130100,130300,130500,130700,131100,131400,131900,132300,132800,133200,133700,134100,134700,135200,135600,136000,136300,136700,137100,137500,137900,138300,138700,139100,139400,139600,139600,139300,138800,138200,137500,136700,136000,135400,135000,134600,134200,133900,133600,133400,133100,132800,132500,132000,131600,131400,131400,131500,131500,131500,131500,131600,131600,131500,131400,131500,131500,131200,130900,130600,130200,129800,129400,129200,129100,128900,128700,128600,128400,128100,127800,127500,127200,126900,126900,126800,126700,127000,127200,127200,127300,127700,128000,128100,128200,128300,128500,128800,129200,129500,129800,130200,130800,131500,132000,132500,133100,133700,134200,134600,135200,135800,136500,137000,137400,138100,138800,139400,140100,141100,142100,142800,143400,144100,145000,146100,146900,147600,148400,149200,150100,151100,152000,152900,154000,155100,156200,157700,159300,161100,162700,164400,165800,167100,168500,169900,171100,172300,173600,174700,175400,176000,176800,177800,178700,179600,180400,181600,183000,184300,185300,186300,187400,188400,189200,190300,191500
New York,122100,121700,121400,121100,120900,120800,120800,120800,120900,121000,121100,121100,121000,121000,121000,121000,121000,121100,121300,121600,122000,122500,123000,123500,123900,124300,124700,125200,125600,126100,126700,127300,127900,128500,129100,129800,130400,131200,132000,132700,133500,134100,134800,135500,136300,137300,138400,139400,140500,141700,142700,143600,144400,145200,146100,146900,147800,148800,149800,150700,151800,152800,153900,155100,156300,157700,159100,160500,162100,163700,165400,166900,168500,170200,171800,173500,175200,177000,178800,180600,182500,184500,186600,188900,191200,193300,195300,197300,199200,201200,203300,205500,207700,209800,212000,214100,216400,218900,221600,224600,227700,230900,234000,237000,240100,243000,245700,248500,251300,254100,256800,259400,261900,264200,266300,268100,269600,270900,272000,273000,274000,275000,275800,276500,277000,277400,277700,277900,278200,278600,278900,279200,279600,279700,279600,279200,278700,278100,277400,276500,275600,274400,273000,271500,270000,268300,266400,264600,262500,260400,258300,256300,254500,252900,251300,249900,248400,246700,244800,243400,242500,241800,241400,241200,240800,240600,241400,241100,239300,237900,237500,236700,235600,234300,233100,231900,230800,229600,228200,226900,226400,226100,225700,225000,224200,223400,222500,221700,221200,220500,219600,219100,219000,218800,218500,218300,218200,218600,218800,218700,218800,218800,218800,219200,219700,220100,220700,221500,222200,222800,223400,224100,224700,225100,225300,225900,226800,227500,227700,228000,228500,228900,228900,228900,229100,229600,230000,229800,229700,230400,231200,231600,232300,233200,234400,235300,235700,236200,237200,238400,239600,240400,240900,241600,242500,242900,243200,244000,245100,246100,247300,248400,249500,250800,252200,253600,254700,255600,256400,257700,259400,261000,262100,263000,263400,263100,262800,263400,264200,265600,267300
Florida,87700,87800,87900,87900,88000,88200,88400,88600,89000,89400,89800,90000,90200,90400,90600,90800,91000,91300,91500,91900,92300,92800,93100,93300,93600,93800,94200,94600,95100,95600,96200,96700,97300,97900,98300,98700,99200,99800,100400,101100,102000,102800,103600,104300,105000,105700,106400,106900,107600,108200,108900,109700,110500,111400,112300,113300,114300,115400,116500,117500,118500,119400,120400,121300,122200,123100,124000,124900,125800,126800,127800,128800,129700,130500,131400,132300,133200,134200,135400,136600,137800,139000,140100,141400,142700,144200,145700,147100,148600,150200,151800,153500,155300,157200,159200,161400,163800,166300,169200,172200,175400,178700,182200,185800,189600,193600,197800,202300,207400,212600,218100,223600,229000,234200,238900,243100,247200,250900,254200,257400,260500,262900,264700,265800,265900,265500,264700,263400,262000,260600,258900,257000,255100,252800,250000,247000,243600,240100,236400,232700,228900,225100,221000,216900,212900,208800,204700,200600,196500,192600,188700,184800,181000,177400,173700,169900,166100,162200,158500,155600,153600,152000,151000,150300,149700,149500,149900,149500,148000,147000,146400,145300,144000,142700,141200,139900,138400,136900,135500,134600,133900,133400,132700,132200,131600,131200,131100,131000,130700,130600,130700,131100,131500,132000,132500,132800,133200,133700,134000,134600,135700,136600,137300,138300,139700,141100,142700,144300,146100,147600,149100,150400,151800,152900,153900,155000,156400,157500,158600,159800,161100,162200,163200,164300,165400,166500,167600,169000,170400,171700,172900,174400,175900,177300,178700,180300,181700,183200,184800,186400,188200,190100,191900,193800,195800,198000,200200,202800,205400,207700,209500,211400,213400,215200,216700,218300,219800,221300,222900,224300,225500,227300,229900,232000,233400,235000,236400,237600,238600,239600,240500
Illinois,117300,117800,118100,118100,117900,117400,116800,116100,115400,114700,114000,113200,112500,111800,111000,110300,109600,109000,108700,108900,109800,111100,112500,113900,115300,116700,118000,119300,120600,121800,122900,123600,124100,124500,124600,124400,124200,124100,124300,124600,125000,125600,126300,127100,128100,129300,130300,131200,132000,132800,133600,134300,135100,135800,136500,137100,137700,138400,139000,139600,140200,140800,141500,142300,143100,144000,145000,145900,146900,147800,148700,149600,150400,151200,151900,152500,153200,153800,154500,155200,155800,156400,157000,157600,158300,159100,160100,161000,161900,162900,163800,164800,165800,166900,168100,169200,170300,171400,172400,173500,174500,175500,176500,177400,178300,179100,179800,180500,181400,182400,183500,184700,186000,187400,188800,190100,191300,192400,193400,194500,195600,196600,197300,198100,198700,199400,199900,200300,200700,201100,201300,201400,201500,201400,201100,200700,200300,199900,199400,198700,197900,196800,195400,194100,192900,191500,189900,188100,186200,184300,182600,181000,179400,177800,176100,174300,172500,170400,168100,166100,164400,162900,161800,161200,160600,160300,160700,160100,158500,157500,157200,156500,155600,154300,153100,151800,150100,148800,148000,147200,146300,145200,143900,142700,141700,140900,140100,138900,138200,137400,136100,135300,135500,135700,135800,135900,135800,136000,136200,136500,136900,137400,137600,137700,138000,138600,139300,140300,141400,142200,142700,143000,143200,143500,143900,144600,145200,145900,147000,148100,148700,148900,149100,149600,150100,150300,150500,151000,151700,152400,152900,153400,153700,154200,155000,155600,156100,156400,156800,157400,158300,159000,159400,159700,160200,160800,161300,162000,162800,163500,164100,164900,165700,166100,166500,167300,168300,169000,169800,170800,171800,172700,173900,174800,175200,175900,176500,176800,177200,178100,179100
Pennsylvania,76900,76700,76600,76500,76400,76300,76400,76600,76900,77100,77400,77700,78000,78500,79000,79400,79900,80200,80600,81000,81400,81900,82300,82600,83000,83300,83700,84000,84500,85000,85500,85900,86400,86700,87000,87300,87600,87800,88100,88300,88500,88700,88900,89200,89400,89700,90000,90300,90500,90700,90800,91000,91100,91300,91500,92000,92500,93200,93900,94600,95300,95900,96500,97200,97900,98600,99300,100000,100700,101300,101900,102500,103000,103600,104200,104800,105500,106200,107000,107800,108600,109400,110200,111100,112100,113100,114200,115200,116300,117200,118100,119000,119900,120900,121800,122800,123900,125000,126200,127300,128400,129500,130600,131600,132500,133400,134200,135100,136000,137100,138200,139400,140600,141800,142900,144000,145000,145900,146800,147700,148600,149400,150100,150700,151300,151800,152300,152700,153200,153600,154100,154600,155000,155200,155400,155600,155600,155600,155600,155500,155400,155200,155000,154700,154400,153900,153400,152900,152500,152100,151700,151400,151200,150900,150700,150500,150200,149700,149300,149000,148700,148600,148500,148500,148600,148700,148800,148800,148600,148500,148600,148400,147800,147200,146400,145500,144900,144300,143800,143400,142800,142100,141400,140800,140200,139900,139800,139600,139300,138900,138400,138100,138100,138200,138100,138100,138100,138300,138800,138900,138900,139100,139300,139400,139600,139700,139900,140300,140600,140700,140700,141000,141200,141400,141500,141700,142000,142300,142600,143000,143200,143300,143300,143600,144100,144400,144600,144800,144900,145200,145500,145800,146300,146700,147000,147400,147700,147900,148400,148900,149400,149700,150100,150700,151300,151900,152300,152800,153500,154100,154500,155100,156100,157100,157800,158400,159300,160400,161400,162200,162800,163700,165000,165900,166600,167400,168200,168900,169400,170000,170500
Ohio,82600,82800,83100,83400,83800,84200,84600,84900,85100,85400,85600,85800,86000,86200,86500,86800,87100,87400,87700,88000,88400,88900,89300,89800,90100,90400,90800,91200,91600,92000,92500,92900,93300,93700,94000,94400,94700,95000,95400,95700,96100,96500,96900,97400,97900,98400,98900,99400,99900,100300,100700,101100,101600,102000,102500,103000,103400,103900,104300,104800,105200,105700,106200,106600,107100,107500,107900,108200,108500,108800,109200,109600,110000,110400,110700,111100,111600,112000,112400,112900,113400,113900,114300,114700,115100,115500,115900,116300,116600,116900,117200,117500,117800,118200,118600,119000,119400,119700,120000,120300,120600,120900,121200,121500,121900,122200,122300,122500,122600,122800,123100,123400,123700,124000,124300,124500,124600,124700,124800,125000,125100,125200,125200,125200,125100,125000,124900,124800,124700,124600,124400,124200,124000,123800,123400,123000,122600,122100,121600,121000,120500,119900,119300,118700,118100,117400,116700,116100,115600,115200,114800,114400,114100,113800,113500,113100,112800,112300,111800,111300,111000,110700,110500,110300,110100,110000,110100,110100,109900,109900,110000,110100,109900,109300,108700,108200,107600,106800,106100,105600,105000,104400,104000,103600,103200,103000,102900,102900,102800,102700,102700,102700,102800,103100,103200,103100,103100,103200,103300,103500,103700,103900,104000,104300,104500,104600,104800,105100,105500,106000,106200,106200,106600,107100,107300,107400,107900,108500,108900,109200,109400,109600,109900,110400,110700,111100,111500,111900,112100,112400,112800,113400,113700,114000,114300,114700,115200,115700,116000,116500,117000,117400,118000,118700,119100,119600,120100,120800,121400,121900,122600,123600,124500,125200,125900,126400,127000,127600,128300,128900,129500,130100,130900,131700,132200,132800,133400,134200,135300,136500,137600
Michigan,74600,75100,75600,76100,76700,77200,77600,78100,78600,79100,79700,80200,80700,81300,81800,82300,82900,83400,84000,84700,85600,86600,87600,88500,89400,90100,90700,91200,91700,92100,92500,93000,93500,94000,94600,95200,95800,96400,97100,97800,98500,99300,100000,100800,101500,102300,103000,103700,104400,105000,105700,106500,107200,107900,108600,109300,110000,110500,111000,111500,111900,112400,112900,113300,113700,114000,114400,114800,115300,115800,116400,117100,117700,118200,118600,119000,119400,119800,120200,120700,121200,121600,121800,122000,122100,122300,122700,123100,123700,124300,124800,125200,125500,125800,126200,126600,127200,127700,128300,128800,129300,129700,130200,130700,131200,131800,132300,132800,133400,133800,134300,134700,134900,135100,135200,135300,135400,135400,135200,135200,135100,134900,134600,134400,134200,133900,133700,133300,132900,132400,131700,131100,130600,129900,128900,128000,127100,126100,125000,123900,122800,121700,120300,119100,117900,116400,114700,113000,111400,109800,108200,106700,105200,103700,102200,100800,99400,97800,96200,94700,93500,92300,91300,90700,90000,89700,90000,89500,88200,87800,88000,87800,87300,86900,86500,85800,85100,84600,84100,83500,82900,82400,82000,81500,81200,81000,80800,80500,80400,80300,80200,80400,81000,81500,82000,82600,83100,83600,84100,84800,85600,86200,86500,87100,88100,89100,89800,90600,91500,92400,93400,94300,95100,95700,96500,97400,98300,99000,99700,100300,101100,101900,102600,103300,104200,105100,106000,106800,107400,108200,108900,109600,110400,111300,112100,112800,113600,114500,115100,115600,116500,117400,118200,119300,120400,121100,121900,123000,124000,124700,125600,126800,127900,128700,129300,130000,130600,131400,132100,132900,133800,134800,135800,136800,137700,138800,139800,141000,142200,143500,144600
Georgia,88000,88400,88900,89400,89900,90300,90600,90900,91300,91700,92100,92500,92900,93300,93800,94400,95000,95600,96100,96600,97200,97700,98200,98500,98900,99400,100100,100800,101600,102500,103400,104300,105200,106000,106700,107300,107900,108600,109400,110300,111100,111900,112700,113400,114200,115000,115800,116600,117400,118200,118900,119700,120400,121200,122000,122800,123600,124500,125300,125900,126400,126900,127500,128000,128500,129000,129700,130300,131000,131700,132400,133200,134000,134700,135300,135800,136300,136700,137000,137400,137900,138400,138900,139300,139700,140100,140500,140700,140900,141000,141200,141500,141900,142600,143400,144200,144900,145400,145800,146400,147100,148100,148900,149500,149800,149800,149600,149700,149900,150400,151000,151800,152500,153200,153900,154600,155400,156000,156600,157300,158100,158800,159400,160100,160700,161200,161700,162100,162600,163000,163200,163500,163800,163900,163800,163700,163500,163300,163000,162600,162200,161700,160900,160200,159500,158600,157400,156100,154700,153300,151900,150700,149500,148300,147000,145800,144600,143100,141500,140200,139300,138400,137500,136900,136100,135700,136000,135400,133700,132800,132600,131900,130900,129700,128700,127600,126400,125200,123800,122500,121400,120300,119200,118300,117100,116000,114900,113700,112600,111800,111100,110600,110600,110700,110600,110700,111100,111600,112000,112600,113400,114000,114700,115500,116500,117400,118300,119200,120100,121200,122400,123500,124600,125600,126500,127600,128800,129900,130800,131700,132400,133000,133600,134500,135300,135900,136400,137100,137900,138800,139500,140200,141100,141800,142200,142800,143600,144400,145400,146500,147500,148600,149500,150500,151500,152400,153100,154000,154900,155900,156800,157800,158900,159700,160600,161300,162200,163300,164500,165800,167300,169100,170900,172200,173400,174700,175900,177200,178400,180300,182300
North Carolina,89100,89000,88900,89100,89400,89800,90400,91000,91800,92600,93500,94300,95100,95700,96200,96500,96700,96800,96700,96500,96100,95400,94900,94600,94500,94800,95400,96300,97500,98700,99900,100900,101700,102200,102600,103100,103600,104300,105100,106000,106700,107400,108100,108800,109400,109900,110300,110800,111200,111600,112100,112700,113300,113800,114300,114700,115000,115300,115500,115700,115800,115900,116000,116200,116300,116500,116700,117000,117300,117700,118200,118700,119000,119200,119400,119600,119800,120100,120500,120900,121400,121800,122000,122400,122800,123400,124000,124600,125100,125600,126000,126500,127100,127900,128700,129600,130500,131300,132000,132600,133100,133600,134000,134400,134700,134900,135100,135400,135800,136300,136900,137500,138300,139000,139800,140600,141500,142400,143300,144100,145000,145900,146700,147600,148300,149100,149700,150400,151000,151600,152200,152700,153200,153600,153800,154100,154300,154500,154600,154600,154600,154500,154400,154200,154000,153700,153200,152700,152000,151400,150900,150400,150100,149900,149600,149400,149000,148500,147800,147100,146400,145900,145500,145300,145100,145000,145100,145100,144600,144200,144100,143800,143300,142600,142000,141400,140700,140100,139400,138600,137900,137400,136900,136300,136100,136300,136400,136200,135900,135600,135600,135600,135700,135800,136000,136300,136400,136400,136300,136000,135900,136000,136200,136400,136800,137200,137500,137700,138200,138500,138800,139400,140100,140400,140400,140600,140900,141200,141500,141800,142000,142200,142100,142400,143100,143800,144100,144500,145000,145200,145600,146100,146500,146700,147100,147700,148200,148800,149500,150100,150900,151700,152400,153400,154500,155300,156200,157300,158300,159200,160200,161300,162200,163100,164000,164700,165000,165600,166400,167400,168300,169400,170900,172100,173000,174100,175200,176300,177500,179400,181100
