State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oregon,126222.2222,131816.6667,133308.3333,138975,144783.3333,151691.6667,158533.3333,167525,182533.3333,216241.6667,260525,266691.6667,252358.3333,229700,215966.6667,196741.6667,195900,213200,232416.6667,253783.3333,285683.3333,316666.6667,336610
Oklahoma,61055.55556,58200,60858.33333,63650,68241.66667,71033.33333,74125,77550,81216.66667,84233.33333,88775,92283.33333,95183.33333,96383.33333,96966.66667,94500,93525,94191.66667,95741.66667,98775,106400,114533.3333,120110
Connecticut,138977.7778,139916.6667,144758.3333,155075,167100,182250,202808.3333,231483.3333,260291.6667,290450,301950,296225,278325,257950,251158.3333,236800,226933.3333,229183.3333,233091.6667,233075,235833.3333,243408.3333,252850
Iowa,62211.11111,65725,71425,75600,79325,83891.66667,88333.33333,91816.66667,96350,102825,106241.6667,110183.3333,111891.6667,111816.6667,112500,110808.3333,112333.3333,115575,119000,123783.3333,128658.3333,134850,140000
Mississippi,71355.55556,71941.66667,72083.33333,71225,71175,67816.66667,69233.33333,69941.66667,73125,93900,108300,115541.6667,112525,109800,115266.6667,109866.6667,103833.3333,100866.6667,97866.66667,103566.6667,110541.6667,115425,120940
Arkansas,61366.66667,62233.33333,66066.66667,68308.33333,71208.33333,74116.66667,76333.33333,80233.33333,84908.33333,92500,99791.66667,102291.6667,101616.6667,98941.66667,97258.33333,94391.66667,93941.66667,97166.66667,99908.33333,103433.3333,109458.3333,115408.3333,121200
Kansas,65211.11111,73925,83458.33333,88516.66667,91458.33333,95175,98866.66667,101033.3333,106433.3333,112958.3333,113533.3333,118066.6667,117975,116066.6667,114791.6667,110608.3333,108875,109633.3333,112691.6667,115850,121533.3333,129116.6667,134530
Utah,148388.8889,149858.3333,153316.6667,154383.3333,161241.6667,165808.3333,167625,170108.3333,171200,177691.6667,198758.3333,233733.3333,246725,231850,214766.6667,198991.6667,197450,213141.6667,229183.3333,240791.6667,259416.6667,283991.6667,315880
Nevada,134633.3333,136466.6667,139466.6667,142300,148783.3333,157366.6667,169350,187225,253066.6667,314800,326341.6667,298375,238258.3333,179275,156400,139641.6667,140316.6667,168891.6667,195116.6667,213466.6667,231600,255225,284710
New Mexico,113966.6667,116275,118158.3333,122525,124758.3333,133400,138500,142508.3333,153641.6667,150391.6667,170125,182925,183150,177333.3333,172658.3333,161491.6667,155150,154550,156725,161491.6667,167508.3333,175116.6667,186170
West Virginia,49166.66667,50466.66667,54425,56916.66667,58366.66667,60925,62458.33333,69100,71883.33333,79575,82341.66667,84216.66667,82625,80875,80058.33333,79575,79375,81533.33333,83158.33333,86575,89233.33333,92008.33333,94620
Nebraska,76922.22222,79658.33333,81191.66667,96316.66667,108766.6667,96833.33333,95550,100375,109358.3333,115966.6667,120016.6667,120983.3333,118858.3333,118416.6667,118966.6667,117100,118000,121833.3333,125475,131733.3333,138458.3333,147250,157480
Idaho,100255.5556,110433.3333,117508.3333,119583.3333,122483.3333,125533.3333,125716.6667,130233.3333,137191.6667,152691.6667,180983.3333,190275,187508.3333,171658.3333,158133.3333,144291.6667,143825,155575,168450,177641.6667,191341.6667,209708.3333,233050
Hawaii,238300,229808.3333,231525,237183.3333,246133.3333,261241.6667,284550,335566.6667,427316.6667,542566.6667,609266.6667,604958.3333,572925,514541.6667,505075,491175,501591.6667,540550,583225,613950,652216.6667,686716.6667,723120
Maine,84688.88889,83575,88516.66667,95816.66667,109391.6667,125558.3333,138708.3333,154675,176350,198025,201158.3333,198291.6667,185891.6667,172400,175983.3333,169483.3333,170550,175650,181091.6667,185541.6667,194316.6667,208541.6667,222680
New Hampshire,105122.2222,108591.6667,118316.6667,128650,146425,167816.6667,189783.3333,217375,242591.6667,265616.6667,268425,259550,242725,225075,220108.3333,207383.3333,205866.6667,213125,221033.3333,229458.3333,240391.6667,258391.6667,275070
Rhode Island,117677.7778,118091.6667,121900,128675,140966.6667,159308.3333,189216.6667,230225,269716.6667,297041.6667,297866.6667,284616.6667,257625,232525,229658.3333,215375,208133.3333,213500,220766.6667,226375,239891.6667,259050,278100
Montana,134422.2222,134416.6667,134383.3333,134391.6667,134383.3333,137675,144350,144416.6667,144775,156450,168241.6667,177741.6667,182991.6667,182775,182900,179108.3333,180808.3333,187116.6667,191425,195816.6667,204950,211550,226410
Delaware,107055.5556,109408.3333,113291.6667,117466.6667,123658.3333,134558.3333,144850,161650,187866.6667,215283.3333,230133.3333,235758.3333,234191.6667,221633.3333,222441.6667,220358.3333,188266.6667,189825,197775,204191.6667,215583.3333,224791.6667,235360
South Dakota,43022.22222,48866.66667,60125,78250,82358.33333,92933.33333,99166.66667,98300,116058.3333,125283.3333,136041.6667,138641.6667,139675,140800,140441.6667,138616.6667,138350,145300,147875,157033.3333,165633.3333,172550,181500
Alaska,130733.3333,136333.3333,145275,155075,158083.3333,183550,199191.6667,208083.3333,224808.3333,249758.3333,271350,284533.3333,289050,292491.6667,295991.6667,297716.6667,297975,306250,310441.6667,320750,322708.3333,323875,327570
Vermont,88211.11111,87266.66667,92133.33333,100383.3333,109133.3333,116825,127233.3333,139800,155500,176591.6667,188633.3333,192400,189816.6667,181400,180216.6667,178400,179191.6667,180283.3333,182950,183691.6667,185416.6667,191550,196430
District of Columbia,120488.8889,125508.3333,132508.3333,142125,153633.3333,172025,200925,254858.3333,323233.3333,391725,429766.6667,432250,408041.6667,375033.3333,373891.6667,373225,392200,443650,496458.3333,546950,598250,650441.6667,683160
Wyoming,130477.7778,130433.3333,128466.6667,131616.6667,137666.6667,148233.3333,152700,157058.3333,174525,161250,165608.3333,180383.3333,184725,182583.3333,182583.3333,181950,184275,189108.3333,192766.6667,201400,208325,210908.3333,219300
mortRate,7.966666667,7.563333333,6.953333333,7.4525,8.025,7.008333333,6.505,5.821666667,5.835833333,5.870833333,6.408333333,6.336666667,6.0725,5.0425,4.688333333,4.4425,3.6475,4.024166667,4.16,3.843333333,3.670833333,3.979166667,4.532
DJI_Open,5780.166667,7317.334147,8506.283366,10281.64583,10745.70076,10204.61922,9320.785889,8842.228353,10297.82332,10534.5293,11326.71663,13129.87492,11596.45744,8748.789266,10500.16496,12039.89242,12930.60262,14796.32324,16757.75081,17526.38078,17828.93343,21576.63932,25078.99961
DJI_High,5994.317763,7685.73584,8912.745809,10806.04647,11156.50171,10635.18254,9644.758382,9257.361613,10531.17912,10761.57902,11614.96834,13503.00659,11864.37093,9258.488281,10977.64168,12385.58569,13262.71761,15330.02751,17072.72494,17971.26839,18301.5708,22090.15251,25919.7002
DJI_Low,5633.614366,7075.153361,8196.710002,10052.71411,10232.39315,9651.259847,8710.377604,8656.715902,10069.06095,10309.53003,11154.01164,12745.28255,10608.13241,8421.375773,10232.66089,11495.29671,12605.58415,14570.07316,16339.00675,16975.05412,17359.44735,21334.91439,24140.39707
DJI_Close,5877.058919,7437.575765,8610.202352,10474.77677,10688.04248,10139.92668,9180.964152,9017.915812,10325.96582,10529.12842,11472.08089,13197.97917,11224.26489,8887.829264,10594.93408,12093.42244,13003.91829,15083.90999,16862.44246,17487.96281,18027.38265,21937.62174,25108.61797
